Constituency Ainm,Year,Full Name,,
Dublin Mid-West,2016,Joanna Tuffy,F,Excluded
Cork North-Central,2016,Ted Tynan,M,Excluded
Meath East,2016,Sarah Tyrrell,F,Excluded
Dublin West,2016,Leo Varadkar,M,Elected
Wexford,2016,Deirdre Wadding,F,Excluded
Kildare South,2016,Mark Wall,M,Excluded
Carlow-Kilkenny,2016,Adrienne Wallace,F,Excluded
Wexford,2016,Mick Wallace,M,Elected
Wexford,2016,Ann Walsh,F,Excluded
Waterford,2016,John D Walsh,M,Excluded
Carlow-Kilkenny,2016,Noel G. Walsh,M,Excluded
Dublin South-West,2016,Karen Warren,F,Excluded
Louth,2016,Garrett Weldon,M,Excluded
Laois,2016,John Whelan,M,
Dublin Rathdown,2016,Alex White,M,Excluded
Dublin Rathdown,2016,Mary White,F,Excluded
Dún Laoghaire,2016,Raymond Whitehead,M,Excluded
Cavan-Monaghan,2016,John Wilson,M,Excluded
Louth,2016,Maeve Yore,F,Excluded
Kildare North,2016,Brendan Young,M,Excluded
Dublin South-West,2016,Katherine Zappone,F,Elected
